"Collision indicies for all agents. Each row represnets an agent's collision indicies. Every num_agents rows correspond to an iteration. The latter are synchronized with the timestamp. The format becomes: row1: colIdx(agent1 @ t=1), row2: colIdx(agent2 @ t=1), ... row_num_agents: colIdx(agent_num_agents @ t=1), row_(num_agents+1): colIdx(agent1 @ t=2), row_(num_agents+1): colIdx(agent2 @ t=2), ... row_(2*num_agents): colIdx(agent_num_agents @ t=1) ..."
2,3
4
6
6,7

0,3,5
0,1
1,7
3
4
6
6

0,3
0,1
1,7
3
4
6
6

0,3
0,1
1,7
3
4
6
6

0,3
0,1
1
3

6
6


0,1
1
3

6
6


0,1
1
3

6
6


0,1
1,2
3

6
6


0,1
1,2

4
6
6

0,3
0,1
1,2

4
6
6

0,3
0,1
1,2
3
4
6
6

0,3
0,1
1,2
3
4
6
6

0,3
0,1
1,2
3
4
2
6
7
0,3
1
2,7
3
4
6
6

0,3
0,1
1,2
3
4
6
6

0,3
0,1
1,2
3
4
2
6
7
0,3
0,1
2,7
3
4
6
6

0,3
0,1
1,2
3
4
2
6
7
0,3
0,1
2,7
3
4
6
6

0,3
0,1
1,2
3
4
2
6
7
0,3
0,1
2,7
3
4
6
6

0,3
0,1
1,2
3
4
6
6

0,3
0,1
1,2
3
4
6
6,7

0,3
0,1
2
3
4
6
7

0,3
0,1

3
4
6
7

0,3
0,1

3
4
6


0,3
0,1

3
4
6
6

0,3
0,1
2

4
6
6

0,3
0,1
2

4
6
6

0,3
0,1
2

4
6


0,3
0,1


4
6


0,3
0,1


4
6


0,3
0,1


4
6
6

0,3
0,1
2

4
6
6

0,3
0,1
2

4
6


0,3
0,1
2

4
6


0,3
0,1
2

4
6


0,3
0,1
2,5

4
6


0,3
0,1
2

4
6


0,3
0,1
2

4
6


0,3
0,1
2

4
6


0,3
0,1
2
2
4
6


0,3
0,1
2
2
4
6


0,3
0,1
2

4
6


0,3
0,1
2

4
6


0,3
0,1
2

4
6


0,3
0,1
2
2
4
6


0,3
0,1
2
2
4
6


0,3
0,1
2
2
4
6


0,3
0,1
2
2
4


4
0,3
0,1
2
2
4


4
0,3
0,1

2
4
6

4
0,3
0,1

2
4
6


0,3
0,1

2
4
6


0,3
0,1

2
4
6

4
0,3
0,1

2
4
6

4
0,3
0,1

2
4
6

4
0,3
0,1

2
4
6


0,3
0,1
2
2
4
6


0,3
0,1
2
2
4
6


0,3
0,1
2
2
4
6


0,3
0,1
2
2
4
6


0,3
0,1
2
2
4
6
6

0,3
0,1
2
2
4
6

4
0,3
0,1

2
4
6

4
0,3
0,1

2,3
4
6
6
4
0,3
0,1
2
2
4
6
6

0,3
0,1
2
2
4
6
6

0,3
0,1
2
2
4
6
6

0,3
0,1
2
2
4
6
6

0,3
0,1
2
2
4
6
6

0,3
0,1
2
2
4
6

4
0,3
0,1

3
4
6

4
0,3
0,1
1
3
4
6

4
0,3
0,1

2,3
4
6

4
0,3
0,1

2
4
6
6
4
0,3
0,1
1,2
2
4
6
6

0,3
0,1
1,2
2,3
4
6
6

0,3
0,1
1,2
3
4
6
6

0,3
0,1
1,2
3
4
6

4
0,3
0,1

3
4
6
6
4
0,3
0,1
2
2,3
4
6
6

0,3
0,1
2
2,3
4
6
6

0,3
0,1
2
2,3
4
6
6

0,3
0,1
2
3
4
6
6

0,3
0,1
2
3
4
6
6

0,3
0,1
2
3
4
6


0,3
0,1

3
4
6

4
0,3
0,1

3
4
6

4
0,3
0,1

3
4
6


0,3
0,1

3
4
6
6

0,3
0,1
2
3
4
6
6

0,3
0,1
2
3
4
6
6

0,3
0,1
2
3
4
6
6

0,3
0,1
2
3
4
6


0,3
0,1

3
4
6
6

0,3
0,1
2
3
4
6
6

0,3
0,1
2
3
4
6
6

0,3
0
2
3
4
6
6

0,3
0,1
2
3
4
6
6

0
0,1
2
2,3
4
6
6

0
0,1
2
2,3
4
6
6

0
0,1
2
2,3
4
6
6

0
0,1
1
2,3
4
6
6

0
0,1
1
3

6
6

0,3
0,1
1,2
3

6
6

0,3
0,1
1,2
3

6
6
4
0,3
0,1
1,2
2,3

6

4
0,3
0,1

2,3

6

4
0,3
0,1

2,3

6

4
0,3
0,1

3

6
6

0,3
0,1
1
3

6
6

0,3
0,1
1
3

6
6

0,3
0,1
1
3

6
6

0,3
0,1
1
3


6

0,3
0,1
1
3


6

0,3
1
1
3


6

0,3
1
1
3


6

0,3
1
1
3


6

0,3
1
1
3


6

0,3

1
3


6

0,3

1
3


6

0,3

1
3


6

0,3

1
3


6

0,3

1
3


6

0,3

1
3


6

0,3

1
3


6

0,3

1
3


6

0,3

1
3


6

0,3

1
3


6

0,3

1
2,3


6

0,3

1
2


6

0,3

1
2


6

0,3

1
2,3


6

0,3

1
3


6

0,3

1
3



4
0,3

1
3

6

4
0,3

1
3

6

4
0,3


3

6

4
0,3


3

6

4
0,3


3

6

4
0,3


3

6

4
0,3

1
3



4
0,3

1
3
